Id,DistrictId,Rooms,Square,LifeSquare,KitchenSquare,Floor,HouseFloor,HouseYear,Ecology_1,Ecology_2,Ecology_3,Social_1,Social_2,Social_3,Healthcare_1,Helthcare_2,Shops_1,Shops_2
1872,30,2.0,52.44905662805961,52.79834949331681,6.0,17,17.0,2016,7.81528e-05,B,B,22,6398,141,1046.0,3,23,B
3381,9,2.0,54.62029016371064,30.08122717380717,8.0,11,14.0,1990,0.136244425,B,B,11,2370,0,30.0,0,1,B
3191,91,3.0,66.35462195018826,48.75905593327922,9.0,8,12.0,1976,0.333891544,B,B,30,6564,1,1937.0,0,0,B
14931,6,3.0,83.10978716958935,46.51934452818984,6.0,5,17.0,1977,0.243204519,B,B,5,1564,0,540.0,0,0,B
9831,62,3.0,55.68532164582656,34.42862814427498,6.0,4,9.0,1980,0.037177818,B,B,52,11217,1,2300.0,1,7,B
5968,23,1.0,28.57119049227769,29.40338105783641,6.0,12,17.0,2014,0.034656082,B,B,0,168,0,1183.0,0,0,B
2891,38,1.0,49.470746724515685,26.563910922433248,6.0,10,12.0,1977,0.060753049,B,B,15,2787,2,520.0,0,7,B
2348,128,1.0,47.51116715169837,21.47567478943422,6.0,3,6.0,2002,0.0,B,B,27,4798,0,30.0,2,8,B
6183,21,2.0,46.56982036483815,31.64756690933532,5.0,3,5.0,1964,0.194489265,B,B,47,8004,3,125.0,3,5,B
10921,194,2.0,48.96912355782237,35.57071511251266,5.0,7,9.0,1977,0.174739084,B,B,17,3379,9,100.0,0,3,B
2196,52,4.0,52.553625596177795,33.33775383217295,6.0,4,22.0,2005,0.371148999,B,B,34,7065,1,750.0,2,5,B
5418,62,2.0,74.47362880928104,50.25648518322311,6.0,10,17.0,1977,0.072157581,B,B,2,629,1,2300.0,0,0,A
632,27,1.0,48.7603390908081,32.25870261971564,6.0,7,17.0,1977,0.017647053,B,B,2,469,0,2672.0,0,0,B
6168,119,2.0,47.82746538271734,31.71677623387681,5.0,3,5.0,1961,0.000995363,B,B,42,7651,1,2300.0,1,5,B
11757,29,2.0,46.832068409810894,33.32686008088317,5.0,3,5.0,1964,0.069660344,B,B,31,6119,4,1547.0,1,2,B
92,21,3.0,70.42479628301454,46.60475213335845,9.0,12,12.0,1971,0.194489265,B,B,47,8004,3,125.0,3,5,B
9570,129,1.0,39.55023422390107,21.55964605695651,9.0,11,16.0,1979,0.460556389,B,B,20,4386,14,1340.0,1,5,B
4568,54,2.0,42.77517622883904,27.75189744956837,5.0,4,5.0,1966,0.006076152,B,B,30,5285,0,645.0,6,6,B
14356,54,2.0,78.17621653251605,33.33775383217295,6.0,10,8.0,2014,0.006076152,B,B,30,5285,0,645.0,6,6,B
15652,9,1.0,45.63248019399702,20.384021962561462,8.0,10,14.0,1995,0.161531741,B,B,25,5648,1,30.0,2,4,B
7157,78,3.0,79.45759445051031,44.618002121026976,6.0,16,17.0,1977,0.092290642,B,B,21,4346,2,165.0,1,2,B
7467,27,1.0,34.842188905195606,18.14997183539917,6.0,22,25.0,1977,0.072157581,B,B,2,629,1,2672.0,0,0,A
14150,2,2.0,48.10615813281211,31.709410875628773,5.0,6,12.0,1971,0.130617806,B,B,39,10418,9,900.0,1,9,B
6050,67,3.0,69.19386111623265,44.891811254484246,6.0,3,12.0,1978,0.0077202819999999,B,B,38,4788,2,1970.0,0,4,B
3236,57,2.0,43.7482851680293,31.052534791295727,5.0,4,5.0,1970,0.133215333,B,B,49,11395,3,1406.0,3,4,A
14948,83,2.0,49.91011626009344,31.331926463723807,9.0,3,12.0,1978,0.0077202819999999,B,B,38,4788,2,562.0,0,4,B
8700,23,1.0,77.60832784588018,37.35390072103868,6.0,3,3.0,2011,0.014072961,B,B,2,475,0,1183.0,0,0,B
4529,101,1.0,39.14986638842559,19.1894195685826,8.0,11,17.0,1988,0.225824954,A,B,41,6558,7,1548.0,3,2,B
4052,1,3.0,52.553625596177795,33.33775383217295,6.0,9,0.0,1977,0.007122317,B,B,1,264,0,200.0,0,1,B
68,42,2.0,67.07601253142803,32.00953479501489,6.0,16,24.0,2007,0.158249043,B,B,21,5731,0,320.0,1,0,B
1259,53,3.0,81.31059858010299,33.33775383217295,6.0,20,18.0,2017,0.049637257,B,B,34,7759,0,229.0,1,3,B
5688,45,2.0,73.10887638981626,45.6698316231279,6.0,8,17.0,2014,0.195781053,B,B,23,5212,6,1308.0,3,2,B
7532,9,2.0,47.91777171886911,30.918685354524595,8.0,4,14.0,2010,0.13012277,B,B,8,1986,0,30.0,0,0,B
8133,1,1.0,49.620649680846405,30.29923127447145,6.0,10,24.0,1977,0.007122317,B,B,1,264,0,200.0,0,1,B
2410,99,2.0,46.84290607335274,31.91581332412824,5.0,5,5.0,1968,0.033493708,B,B,66,10573,1,1322.0,3,8,B
1370,1,1.0,44.373134790122535,23.67984144853992,6.0,4,20.0,1977,0.007122317,B,B,1,264,0,200.0,0,1,B
2273,37,3.0,81.26409040417501,44.60794641362168,6.0,8,17.0,2002,0.178916796,B,B,18,3594,4,192.0,1,5,B
15864,27,3.0,47.72283507314865,47.09881321759957,9.0,18,99.0,1977,0.072157581,B,B,2,629,1,2672.0,0,0,A
5729,124,1.0,33.68030681079079,18.12588870219044,5.0,5,5.0,1959,0.16909109,B,B,19,3856,10,1145.0,2,5,B
1779,29,1.0,43.610767135670784,16.26838735605571,9.0,7,17.0,2014,0.069660344,B,B,31,6119,4,1547.0,1,2,B
6160,31,2.0,44.7276568549029,30.314237983973552,5.0,5,9.0,1974,0.151346216,B,A,32,5889,10,830.0,4,1,B
9903,67,1.0,34.65381300459845,22.549847876854,6.0,7,9.0,1976,0.0077202819999999,B,B,38,4788,2,1970.0,0,4,B
13932,23,2.0,66.93512594874889,39.40710929174745,6.0,17,17.0,1977,0.075778755,B,B,6,1437,3,1183.0,0,2,B
1890,42,1.0,41.99188404861415,24.850066270280248,8.0,6,9.0,2006,0.158249043,B,B,21,5731,0,320.0,1,0,B
12569,75,2.0,59.110119894801,35.80797071261016,6.0,6,17.0,1999,0.122090347,B,B,29,6566,7,1894.0,4,0,B
7622,107,2.0,60.91875982885984,34.824602414519966,8.0,22,23.0,2011,0.050272014,B,B,21,4231,14,1020.0,0,3,B
12578,23,2.0,65.27726764082085,33.33775383217295,6.0,3,17.0,1977,0.075778755,B,B,6,1437,3,1183.0,0,2,B
6396,6,3.0,80.74638250523624,49.12752549741328,6.0,12,17.0,1977,0.243204519,B,B,5,1564,0,540.0,0,0,B
6611,99,2.0,44.59432542019106,31.89406810196852,5.0,1,9.0,1969,0.033493708,B,B,66,10573,1,1322.0,3,8,B
15284,17,1.0,35.943567788099706,23.834554880376125,5.0,3,5.0,1963,0.0,B,B,18,3374,5,620.0,1,2,B
16335,100,2.0,44.45974833505619,28.224575835913026,5.0,8,9.0,1968,0.200146802,B,B,23,3975,8,770.0,2,0,B
2797,67,3.0,66.82232441471817,47.27325325875746,7.0,5,12.0,1978,0.100455735,B,B,43,7227,0,1970.0,1,6,A
1559,23,1.0,31.34243276966709,27.415963977478533,6.0,7,1.0,1977,0.034656082,B,B,0,168,0,1183.0,0,0,B
9637,27,2.0,76.22842921136498,44.24058219799838,6.0,7,15.0,1977,0.072157581,B,B,2,629,1,2672.0,0,0,A
16236,94,1.0,45.79468156462576,21.998838846981386,7.0,16,17.0,2001,0.521867054,B,B,25,6149,0,30.0,0,0,B
1946,55,3.0,76.99346766547983,42.50614640010587,6.0,6,14.0,1998,0.041365446,B,B,31,5569,0,2078.0,1,4,B
349,34,3.0,52.553625596177795,33.33775383217295,6.0,12,25.0,2016,0.069753361,B,B,53,13670,4,800.0,1,11,B
6251,18,1.0,43.74482957400734,21.2705234941218,8.0,4,14.0,1988,0.0,B,B,30,5562,0,620.0,0,5,A
5128,66,3.0,76.99803337561625,49.2076523980588,8.0,3,5.0,1961,0.161975568,B,A,31,7010,5,4508.0,3,7,B
11443,130,1.0,32.9883493774982,22.304666495246323,7.0,7,9.0,1963,0.341071945,B,B,27,5664,48,2300.0,3,11,B
5619,30,1.0,45.5497533000315,43.339849534400045,6.0,9,9.0,1977,7.81528e-05,B,B,22,6398,141,1046.0,3,23,B
15207,62,1.0,37.676875099089,21.00695295752595,6.0,2,9.0,1973,0.002211665,B,B,39,7614,3,2300.0,1,5,A
4979,44,1.0,32.99127328274289,25.16395937701384,5.0,9,9.0,1963,0.232205084,B,B,24,4860,1,80.0,0,3,B
4854,7,2.0,60.69826501126976,33.940843839373215,8.0,19,22.0,2009,0.035145267,B,B,42,9292,3,2620.0,0,3,B
13487,30,3.0,80.36115318461856,33.33775383217295,6.0,14,17.0,1977,7.81528e-05,B,B,22,6398,141,1046.0,3,23,B
14661,27,2.0,67.47021920374242,32.28464194468871,6.0,5,1.0,1977,0.017647053,B,B,2,469,0,2672.0,0,0,B
16795,3,2.0,42.36696712761096,30.42937703866629,5.0,4,5.0,1968,0.265088676,B,B,37,5288,0,1937.0,3,2,B
2740,27,1.0,45.07973134965165,45.36792042199732,6.0,15,17.0,2015,0.072157581,B,B,2,629,1,2672.0,0,0,A
15200,101,4.0,52.553625596177795,33.33775383217295,8.0,4,5.0,1960,0.225824954,A,B,41,6558,7,1548.0,3,2,B
8467,8,3.0,74.48213386679768,45.64719995357787,9.0,16,17.0,1986,0.092290642,B,B,21,4346,2,165.0,1,2,B
2526,28,1.0,44.97697542948097,23.877165513034463,8.0,4,14.0,1990,0.118537385,B,B,30,6207,1,1183.0,1,0,B
7814,139,1.0,43.30422228702753,17.906761313805386,8.0,10,9.0,2006,0.122090347,B,B,29,6566,7,1894.0,4,0,B
7117,115,2.0,49.93497480720345,32.57963489819039,8.0,3,12.0,1969,1.8e-09,B,B,16,3681,73,1815.0,2,5,B
13874,94,2.0,48.68620039967849,32.00626444422248,6.0,10,12.0,1975,0.521867054,B,B,25,6149,0,30.0,0,0,B
15067,1,1.0,39.475796536491,23.098055032484663,8.0,12,17.0,1992,0.025609157,B,B,33,5261,0,240.0,3,1,B
254,15,1.0,53.3726503407478,22.832989521243533,6.0,11,17.0,2007,0.158249043,B,B,21,5731,0,1940.0,1,0,B
8314,53,2.0,49.748026544464246,32.01304652042161,5.0,8,9.0,1968,0.313924552,B,B,22,4625,11,3855.0,2,10,B
13152,99,2.0,56.793832659775646,38.92873452892562,6.0,10,9.0,1973,0.012338886,B,B,35,5776,1,2078.0,2,4,B
15383,61,2.0,44.30863623532426,28.23733450104515,5.0,7,3.0,1961,0.298204575,B,B,16,4048,3,2300.0,1,3,B
15993,86,3.0,60.68475162476835,41.8223181844994,5.0,9,9.0,1973,0.161975568,B,A,31,7010,5,4508.0,3,7,B
14075,64,4.0,52.553625596177795,33.33775383217295,6.0,13,22.0,2002,0.135649789,B,B,46,7960,6,350.0,3,11,B
15859,13,3.0,82.31104819265433,45.73843640064102,6.0,12,17.0,2001,0.090799103,B,B,74,19083,2,1015.0,5,15,B
6849,33,3.0,52.553625596177795,33.33775383217295,6.0,16,17.0,1977,0.236108458,B,B,16,3893,27,800.0,3,10,B
5877,77,3.0,69.11237658981862,43.37663288116915,8.0,4,16.0,1978,6.99893e-05,B,B,46,10309,1,240.0,1,16,B
1655,95,1.0,44.94350122950068,33.33775383217295,6.0,4,0.0,1977,0.0006991189999999,B,B,14,3369,24,4129.0,0,3,B
7048,75,1.0,32.818082647218496,19.213318712173,5.0,3,14.0,1965,0.122090347,B,B,29,6566,7,1894.0,4,0,B
10574,23,3.0,66.47191800762235,33.33775383217295,6.0,5,1.0,2017,0.034656082,B,B,0,168,0,1183.0,0,0,B
8593,1,2.0,47.851365072771394,33.667048014240216,6.0,5,12.0,1983,0.059456227,B,B,1,362,0,240.0,0,0,B
3249,70,1.0,36.04589052068201,21.59877795600963,7.0,8,9.0,1974,0.002211665,B,B,39,7614,3,1970.0,1,5,A
5047,23,1.0,39.36140692667142,23.16016645967436,6.0,5,15.0,2017,0.034656082,B,B,0,168,0,1183.0,0,0,B
1968,27,2.0,52.553625596177795,33.33775383217295,6.0,3,3.0,2016,0.014072961,B,B,2,475,0,2672.0,0,0,B
789,67,1.0,47.660240117006,27.797065814631985,6.0,12,22.0,1977,0.0077202819999999,B,B,38,4788,2,1970.0,0,4,B
13459,1,1.0,40.0929429686836,24.43070800126732,6.0,6,17.0,1977,0.007122317,B,B,1,264,0,240.0,0,1,B
15870,44,2.0,54.30058654863748,33.52509646552473,8.0,2,14.0,1990,0.036122292,B,B,24,4378,0,1036.0,1,1,B
1903,113,4.0,52.553625596177795,33.33775383217295,6.0,16,17.0,2001,0.060753049,B,B,15,2787,2,520.0,0,7,B
117,59,4.0,52.553625596177795,33.33775383217295,6.0,21,1.0,2016,0.0,B,B,18,3374,5,620.0,1,2,B
9557,24,2.0,50.75225063303423,31.094334443232512,6.0,7,5.0,1960,0.111627393,B,B,50,12238,8,1970.0,2,3,B
1421,164,1.0,34.961943018409784,21.209560286798943,5.0,2,5.0,1965,0.486245621,B,B,13,2514,19,2301.0,0,6,B
13502,75,1.0,39.5059260782714,21.97881527681596,9.0,11,12.0,1972,0.307466659,B,A,30,5048,9,325.0,2,5,B
14811,58,1.0,41.05789525897194,37.88232985846608,6.0,17,17.0,1977,0.43788524,B,B,23,5735,3,1084.0,0,5,B
9297,148,2.0,61.87886298833217,35.836544214024634,6.0,4,17.0,1986,0.313924552,B,B,22,4625,11,3855.0,2,10,B
16555,1,1.0,38.40776281943658,19.93197444209955,6.0,13,17.0,1977,0.007122317,B,B,1,264,0,240.0,0,1,B
12343,13,2.0,55.63884113874912,34.071084858129375,9.0,16,17.0,2000,0.090799103,B,B,74,19083,2,1015.0,5,15,B
1527,151,1.0,34.815008019726854,18.14997183539917,5.0,3,5.0,1966,0.236108458,B,B,16,3893,27,3855.0,3,10,B
3248,23,1.0,42.78899856535124,43.5572193227285,6.0,3,17.0,1977,0.075778755,B,B,6,1437,3,1183.0,0,2,B
3713,93,1.0,45.955517773352135,19.42257578651241,6.0,3,21.0,2018,0.004949358,B,B,0,186,0,30.0,0,0,B
8728,109,2.0,58.10522563607446,48.30384409949928,9.0,1,12.0,1977,0.093442564,B,B,23,4635,5,3300.0,2,4,B
2112,39,3.0,57.2934574190353,39.72928154859253,5.0,3,9.0,1970,0.428825818,B,B,25,5011,8,730.0,0,2,B
7310,31,2.0,44.21664175571382,29.838412517646034,5.0,5,5.0,1960,0.151346216,B,A,32,5889,10,830.0,4,1,B
5114,98,3.0,52.553625596177795,33.33775383217295,9.0,7,8.0,1963,0.195781053,B,B,23,5212,6,2300.0,3,2,B
14350,6,2.0,63.95471097180236,36.346573640144406,6.0,12,1.0,2014,0.243204519,B,B,5,1564,0,540.0,0,0,B
4088,22,1.0,39.67093816820002,18.675235138833447,9.0,9,20.0,2013,0.118537385,B,B,30,6207,1,1183.0,1,0,B
14669,75,1.0,28.76735283810825,16.443666056432008,5.0,4,9.0,1979,0.307466659,B,A,30,5048,9,325.0,2,5,B
13518,26,2.0,48.50786205935908,30.48039627684409,5.0,4,12.0,1967,0.0,B,B,36,6714,2,2672.0,0,2,B
3885,74,2.0,78.96900311399234,51.960540727713536,6.0,10,1.0,1977,0.075778755,B,B,6,1437,3,990.0,0,2,B
4964,31,1.0,31.34697381763689,17.261167435893928,5.0,6,5.0,1963,0.151346216,B,A,32,5889,10,830.0,4,1,B
7696,23,2.0,74.64631863190073,33.33775383217295,6.0,5,1.0,2015,0.014072961,B,B,2,475,0,1183.0,0,0,B
4800,99,1.0,34.65933243040963,23.406655377816925,6.0,9,12.0,1974,0.012338886,B,B,35,5776,1,2078.0,2,4,B
2840,105,1.0,38.691959808951054,21.008193037816696,6.0,14,12.0,1973,0.040242764,B,B,25,3478,11,2729.0,3,1,B
5405,21,1.0,43.103813869248846,21.23475609332882,8.0,3,17.0,2006,0.194489265,B,B,47,8004,3,125.0,3,5,B
1698,13,3.0,77.95697471613137,47.30688819728535,6.0,19,22.0,2001,0.090799103,B,B,74,19083,2,1015.0,5,15,B
13540,29,1.0,35.81374528416286,22.772966577624917,5.0,3,5.0,1963,0.086885265,B,B,10,2277,2,1547.0,0,0,B
3149,141,2.0,39.58923094418836,13.501858441736749,5.0,8,13.0,1967,0.0,B,B,23,3684,2,705.0,0,4,B
9719,78,3.0,52.553625596177795,49.81364347322672,6.0,20,22.0,2006,0.219006007,B,B,28,6746,3,165.0,1,4,B
13608,30,3.0,77.96273925121066,47.30688819728535,6.0,5,17.0,1977,7.81528e-05,B,B,22,6398,141,1046.0,3,23,B
14039,29,1.0,38.64495753534339,22.285199719785403,8.0,3,5.0,1960,0.069660344,B,B,31,6119,4,1547.0,1,2,B
10153,1,3.0,80.40701311964045,33.33775383217295,6.0,16,17.0,1977,0.007122317,B,B,1,264,0,240.0,0,1,B
14962,1,1.0,52.82967629505761,34.616208430601624,6.0,12,12.0,2016,0.014580716,B,B,3,760,1,240.0,0,0,B
3954,47,1.0,38.51345811387383,23.000797255088536,8.0,12,12.0,1983,6.99893e-05,B,B,46,10309,1,240.0,1,16,B
13426,209,3.0,57.32044281965874,43.187837056754496,6.0,4,5.0,1967,0.040242764,B,B,25,3478,11,2729.0,3,1,B
12128,6,2.0,67.35766837062401,42.228395211941816,6.0,14,17.0,1977,0.243204519,B,B,5,1564,0,540.0,0,0,B
7188,59,1.0,44.3016133524626,33.70997342946917,6.0,16,17.0,1977,0.019508796,B,B,37,7687,11,176.0,5,5,B
10488,23,3.0,80.56389072445232,43.39224618255557,6.0,19,25.0,1977,0.075778755,B,B,6,1437,3,1183.0,0,2,B
3037,156,2.0,57.66976927251718,31.956946138477868,6.0,17,16.0,1981,0.007658515,B,B,35,7077,56,2301.0,3,19,B
11641,27,2.0,52.553625596177795,44.89264173611284,6.0,2,6.0,1977,0.07542368,B,B,11,3097,0,2672.0,0,0,B
15313,76,1.0,37.58702793369136,15.039961283814428,7.0,3,9.0,1965,0.0,B,B,7,1660,39,1786.0,1,5,B
14066,79,2.0,49.24404934301864,31.385953840677843,7.0,5,9.0,1979,0.307466659,B,A,30,5048,9,325.0,2,5,B
11931,9,3.0,81.44153182471769,33.33775383217295,6.0,11,1.0,1977,0.161531741,B,B,25,5648,1,30.0,2,4,B
12712,3,2.0,52.35996514239503,30.19670698255916,9.0,13,12.0,1975,0.050900058,B,B,43,10621,1,30.0,2,3,B
4881,1,2.0,64.59900935256066,33.33775383217295,6.0,17,17.0,1977,0.007122317,B,B,1,264,0,200.0,0,1,B
10266,23,3.0,78.70514518523436,33.33775383217295,6.0,4,3.0,2015,0.034656082,B,B,0,168,0,1183.0,0,0,B
3262,37,3.0,61.16162599299228,46.84941605912189,6.0,5,9.0,1974,0.127811589,B,B,28,7287,5,320.0,1,3,B
16604,17,3.0,52.553625596177795,33.33775383217295,6.0,4,0.0,1977,0.0,B,B,18,3374,5,620.0,1,2,B
8357,75,1.0,40.48967510136287,22.71311637894853,8.0,13,14.0,1969,0.307466659,B,A,30,5048,9,325.0,2,5,B
11661,21,1.0,36.96362776610617,23.833476492867533,5.0,3,5.0,1967,0.194489265,B,B,47,8004,3,125.0,3,5,B
8463,19,2.0,59.022182503946425,33.89148855713637,6.0,11,14.0,2006,0.309479124,B,B,35,7715,4,990.0,0,6,B
756,85,3.0,77.29324421012132,50.57468074648008,6.0,14,16.0,1982,0.037177818,B,B,52,11217,1,2300.0,1,7,B
109,38,2.0,77.57091626146448,39.78748087730664,6.0,27,26.0,2017,0.060753049,B,B,15,2787,2,520.0,0,7,B
5778,18,2.0,52.61241525851811,31.639088317376107,9.0,10,12.0,1982,0.0,B,B,30,5562,0,620.0,0,5,A
16681,58,3.0,77.69339520104248,46.77809647057576,6.0,10,14.0,1996,0.1489038909999999,B,B,9,1952,1,1430.0,3,2,B
3343,58,0.0,52.553625596177795,33.33775383217295,6.0,3,3.0,1977,0.43788524,B,B,23,5735,3,1084.0,0,5,B
6914,93,2.0,48.56274186178487,29.0119245662584,6.0,6,9.0,1978,0.050900058,B,B,43,10621,1,30.0,2,3,B
391,99,1.0,33.21163650610413,20.81459698280508,6.0,8,9.0,1973,0.012338886,B,B,35,5776,1,2078.0,2,4,B
8877,55,3.0,52.553625596177795,44.89264173611284,6.0,16,17.0,1989,0.041365446,B,B,31,5569,0,645.0,1,4,B
13592,31,3.0,68.56716856897975,33.33775383217295,7.0,3,9.0,1960,0.0,B,B,23,3684,2,830.0,0,4,B
15050,28,3.0,61.37808758991882,42.60584812249997,6.0,6,9.0,1971,0.118537385,B,B,30,6207,1,1183.0,1,0,B
2138,27,1.0,52.553625596177795,33.33775383217295,6.0,1,1.0,1977,0.017647053,B,B,2,469,0,2672.0,0,0,B
12215,61,3.0,65.82849495054819,41.96699798437575,8.0,14,12.0,1984,0.300322518,B,B,52,10311,6,2300.0,1,9,B
9348,205,1.0,37.48081132318665,16.851794529945757,8.0,6,5.0,1933,0.16909109,B,B,19,3856,10,100.0,2,5,B
6317,169,2.0,56.214048052190826,36.349948901114615,6.0,9,17.0,1977,0.178916796,B,B,18,3594,4,192.0,1,5,B
8664,1,2.0,55.955065651859805,33.82573800842777,9.0,4,17.0,1989,0.025609157,B,B,33,5261,0,240.0,3,1,B
12776,6,1.0,40.8889909109654,39.93268613974281,6.0,14,17.0,1977,0.243204519,B,B,5,1564,0,540.0,0,0,B
473,53,2.0,55.35426538954443,31.58049429766585,6.0,2,1.0,1977,0.049637257,B,B,34,7759,0,229.0,1,3,B
13333,88,2.0,52.59251542621027,33.12736386536157,8.0,4,12.0,1975,0.127375905,B,B,43,8429,3,4508.0,3,9,B
16119,131,3.0,67.37215136466237,49.50139190292053,6.0,11,3.0,1961,0.0,B,B,23,3684,2,2300.0,0,4,B
